ticker,approach,group,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,epochs_trained,final_train_loss,final_val_loss,timestamp
META,ADAPTIVE,MEDIUM,603,151,185,0.3841098771347578,0.267804048558768,0.05664172438023158,0.04917973351826661,2.604761893881254,1.8061843682214063,0.008069466442968928,0.04917870183350446,0.5960264900662252,-0.6265265353685167,151,200,0.004088344518095255,0.0031584440730512142,2025-10-31 15:16:48
NVDA,ORIGINAL,HIGH,808,203,124,,,0.0751974578079389,0.06650957357187655,2.46510087944805,4.137373979045219,0.010310737162637647,0.06639804462411864,0.6403940886699507,-0.833553258882347,203,200,0.005728109739720821,0.004493732005357742,2025-10-31 15:11:30
PM,ORIGINAL,LOW,808,203,124,,,0.03025979953462047,0.04017092065605376,2.421671527512453,1.9260012245245428,0.006098061212305122,0.03997392692802044,0.5714285714285714,-0.6306118170891833,203,200,0.0009487050701864064,0.0016470038099214435,2025-10-31 15:17:48
AAPL,ADAPTIVE,MEDIUM,603,151,185,-0.11312742951373142,-0.043033406942483275,0.034930170678316504,0.05246186409546849,2.3970442302965207,1.6595250519181235,0.007899996484173177,0.0523179984530063,0.5894039735099338,-0.5877975763689132,151,200,0.0014921881956979632,0.0030193477869033813,2025-10-31 15:19:17
KO,ORIGINAL,LOW,808,203,124,,,0.02227385520674369,0.02383746210410966,2.221036086951288,0.8530635550939207,0.0033202285188423455,0.023730813763100756,0.4827586206896552,-0.3957113203150052,203,200,0.0005555449752137065,0.0006271808524616063,2025-10-31 15:18:19
HD,MULTI-SCALE,MEDIUM,603,151,185,,,0.03180563894820095,0.027484215319401997,2.189567789117302,0.6716971308488453,0.0037868621468885306,0.027454995108391535,0.5827814569536424,-0.3988666598518332,151,200,0.0010916073806583881,0.000829255033750087,2025-10-31 15:18:48
NEE,ORIGINAL,MEDIUM,808,203,124,,,0.03952592954967587,0.03868901604554334,1.9289779244854561,1.2163433530660992,0.004669300907573717,0.03842597317829924,0.5221674876847291,-0.43723342776092,203,200,0.0016194804338738322,0.0015567884547635913,2025-10-31 15:26:29
T,ORIGINAL,MEDIUM,808,203,124,,,0.03535936586718326,0.030303005372782018,1.7288606143356902,0.7769664728864778,0.003295394088860641,0.030258517634497845,0.5517241379310345,-0.543785767609317,203,200,0.0012806733138859272,0.0009474623948335648,2025-10-31 15:19:47
AMZN,ADAPTIVE,MEDIUM,603,151,185,-0.08142477957085244,0.08304987130533611,0.044937938125285994,0.04338460368182145,1.6920999296834582,0.7419606124791718,0.004622981532557517,0.04337069898612743,0.5827814569536424,-0.5287110320974132,151,200,0.002480416325852275,0.002349171554669738,2025-10-31 15:28:11
ABT,ORIGINAL,LOW,808,203,124,,,0.030203645040055,0.030724316723099443,1.559859172674143,0.6754827568397996,0.003010121453075548,0.030633660732148595,0.5270935960591133,-0.41110767543950066,203,200,0.0009430042118765414,0.0009738358203321695,2025-10-31 15:20:16
MA,MULTI-SCALE,MEDIUM,603,151,185,0.05739004074131598,0.2423108100809466,0.024466602544480482,0.03132779710844909,1.4751584919707668,0.436570277810326,0.0029033687357032044,0.031243795215773692,0.6423841059602649,-0.4097135765499149,151,200,0.0007389981183223426,0.001132864155806601,2025-10-31 15:21:12
NOW,ORIGINAL,MEDIUM,808,203,124,0.25775052452745517,-0.035750828003610645,0.053111928308424323,0.05563445741231337,1.4196066835883752,1.0219226649087294,0.0049418888254792945,0.05526182282868915,0.4,-0.4859941877380684,55,200,0.0032108870800584555,0.0034617511555552483,2025-10-31 15:24:41
BRK-B,ORIGINAL,LOW,808,203,124,,,0.02510262732138839,0.02404804079902585,1.269651411736102,0.3927742935367806,0.0019203274548527688,0.02400993926861905,0.5073891625615764,-0.5045568642201498,203,200,0.0006906004273332655,0.0006374727818183601,2025-10-31 15:23:05
QCOM,MULTI-SCALE,MEDIUM,603,151,185,0.04876703517078707,0.23230975633505033,0.04677449590339205,0.049492181837114714,1.160509550212744,0.4273490791269863,0.003618005766727751,0.049490382042979654,0.5496688741721855,-0.6045755052632085,151,200,0.002458530943840742,0.002695092000067234,2025-10-31 15:23:33
XOM,ORIGINAL,MEDIUM,808,203,124,,,0.03779687744674242,0.03565842776510744,1.0556698480894569,0.4173308337062134,0.00237024162856858,0.03564222227815557,0.5566502463054187,-0.5148961596932916,203,200,0.0014610373182222247,0.0013041140045970678,2025-10-31 15:24:10
COST,ADAPTIVE,LOW,603,151,185,0.0788599736096953,0.11515381642974862,0.029819565883577398,0.02519633860477439,1.040865328042173,0.2206349415760369,0.0016269100470867716,0.02481242831765982,0.4900662251655629,-0.48140355815261915,151,200,0.001036102999933064,0.000782493909355253,2025-10-31 15:22:05
