ticker,group,volatility_pct,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,old_original_sharpe,old_multiscale_sharpe,improvement_vs_original,improvement_vs_multiscale,timestamp
MCD,LOW,1.1055700016719427,603,151,185,0.6612715719287527,0.4292171059393709,0.01955768010520751,0.021450605259482627,0.7830928794082681,0.12949286832729912,0.0010194116598974188,0.020665056265556814,0.8571428571428571,-0.31642655904456535,7,0.9871164216029008,0.642400252299195,-0.2040235421946327,0.14069262710907315,2025-10-31 16:28:24
WMT,LOW,1.359453085964837,603,151,185,0.6586362882734207,0.10818396852077997,0.020112612857588263,0.038353663212453336,0.6087324690535505,0.11660839740370199,0.0012592938397341044,0.03283982862953516,0.7096774193548387,-0.5081326945929021,31,1.6773995409880644,3.755128917442597,-1.068667071934514,-3.1463964483890465,2025-10-31 16:28:21
UNH,MEDIUM,1.9827865740924315,603,151,89,0.35204962612650814,-0.23601799325920095,0.0342476546833156,0.08848172886257592,0.48603379411348263,-0.1480829667021596,0.0026560244582934513,0.08674927889201994,0.4962962962962963,-0.9422680726111247,135,1.0650201019702723,-2.6359497310753297,-0.5789863078567896,3.121983525188812,2025-10-31 16:28:07
XOM,MEDIUM,1.6815976153189929,603,151,89,0.2879854673343076,0.2631309575881673,0.030028059065908597,0.03854024241630529,0.4371395771894644,0.04547673358318938,0.001068928943057841,0.03881762668180114,0.5695364238410596,-0.5148961596932918,151,1.0556698480894569,0.4371395771894644,-0.6185302708999925,0.0,2025-10-31 16:28:11
ISRG,MEDIUM,2.185279404683705,603,151,89,0.34616619030948165,-0.10232539013459273,0.03770652138951511,0.05278272866044141,0.4038058587216064,0.02288063537825491,0.0011855723655145257,0.04660749079301312,0.47019867549668876,-0.7267774417202711,151,-1.0746378696965262,0.424882701493481,1.4784437284181327,-0.021076842771874604,2025-10-31 16:28:05
LLY,MEDIUM,2.026488655645125,603,151,89,0.37364244178124256,0.2801537566243913,0.04029696371497318,0.06325308916527632,0.1962961671149198,-0.17949975267181195,0.0008005668390697345,0.06474199048900113,0.5174825174825175,-0.7973818488196471,143,1.3546311302759488,0.4091015104217562,-1.1583349631610291,-0.2128053433068364,2025-10-31 16:28:07
AXP,MEDIUM,1.90220631114826,603,151,89,0.30897839203468697,0.017794865603365094,0.0359582787376005,0.043768712781127116,-0.1300986296332923,-0.18498524566418462,-0.00036275771763102027,0.044263342806593206,0.574468085106383,-0.7058122461613296,94,-0.8600606063092262,3.866681950598514,0.7299619766759339,-3.9967805802318064,2025-10-31 16:28:08
CSCO,LOW,1.469271701835641,603,151,185,0.7728006070111219,0.1681508862219368,0.021199001450145926,0.03340350966392496,-0.15984420853248704,-0.12627237960254634,-0.00033345535454141735,0.03311624298030747,0.7096774193548387,-0.47558642938735485,62,2.708033836708012,2.733554399539645,-2.867878045240499,-2.893398608072132,2025-10-31 16:28:16
TSLA,HIGH,3.9666343228959846,808,203,80,0.5735610287813372,0.0053540367288240995,0.07483421061398654,0.08925131787902829,-0.3639274580399847,-0.6990087661165996,-0.0020081300517624965,0.0875945895237466,0.4943820224719101,-0.9459722174967753,89,-1.3037603561882003,-4.562816267481749,0.9398328981482156,4.1988888094417645,2025-10-31 16:28:01
PG,LOW,1.1250246466873182,603,151,185,0.5920902772537912,0.11996295475366386,0.018095238858464983,0.026272948793215217,-0.3803060428763061,-0.12787024189817298,-0.0005965389500848927,0.024900372826337707,0.45925925925925926,-0.42296650045503703,135,-1.043629392173797,-2.01096860226584,0.6633233492974908,1.6306625593895339,2025-10-31 16:28:23
T,MEDIUM,1.5737875691313965,603,151,89,0.28053250650757633,0.05453506391725353,0.032386209407794186,0.029122572853772292,-0.3916227930663151,-0.15225384296693778,-0.0006929787325071202,0.02809003085415602,0.5298013245033113,-0.4966046093050242,151,1.755908288554887,-0.3916227930663151,-2.147531081621202,0.0,2025-10-31 16:28:12
MRK,LOW,1.4735835070486218,603,151,185,0.7587694575803146,-0.0028670774199083303,0.021239228844073404,0.048253662392579194,-0.6771144748134861,-0.352177230692451,-0.0018947640676027606,0.04442150953041391,0.45695364238410596,-0.6728948066276675,151,-0.8272225062051992,-0.6771144748134861,0.15010803139171314,0.0,2025-10-31 16:28:15
CRM,MEDIUM,2.34120395095576,603,151,89,0.44105262515774946,0.1977166519652285,0.04569475661112171,0.043005990454153716,-0.7567773344212895,-0.3579792340526248,-0.0020252683119434583,0.04248295540467948,0.5165562913907285,-0.6511370903279096,151,3.2264769016127683,-0.8705521891245558,-3.9832542360340577,0.11377485470326631,2025-10-31 16:28:05
