,strategy,benchmark
2024-04-12,10879.946203765925,11367.893610910827
2024-04-15,10751.566096744516,11225.475317888464
2024-04-16,10741.771681863782,11205.002575866318
2024-04-17,10694.138121498307,11138.687852037368
2024-04-18,10674.906639864404,11115.767898674107
2024-04-19,10593.49727550825,11018.744753505363
2024-04-22,10669.310147542992,11120.21825417686
2024-04-23,10732.55106831305,11252.177450904983
2024-04-24,10728.72564466397,11246.836885962995
2024-04-25,10693.050868074663,11204.112366427084
2024-04-26,10781.682773602093,11310.258947884497
2024-04-29,10805.650129048361,11350.312839102702
2024-04-30,10720.148639904764,11170.510591486416
2024-05-01,10694.127600072232,11134.237496534615
2024-05-02,10781.48280427008,11238.380933830393
2024-05-03,10898.330826059158,11377.685223048995
2024-05-06,10987.242742546972,11495.179726853032
2024-05-07,10993.298577952006,11507.864000898648
2024-05-08,10994.09408482405,11508.974860540773
2024-05-09,11049.505315807022,11575.290276063146
2024-05-10,11061.963797721502,11590.200419553565
2024-05-13,11053.578470707731,11591.756729762019
2024-05-14,11078.911314101575,11644.942420672447
2024-05-15,11181.814436735087,11789.142515960133
2024-05-16,11161.65681387046,11764.883444124174
2024-05-17,11175.71059450133,11781.796731776229
2024-05-20,11177.1894888036,11795.371906954506
2024-05-21,11190.881086953748,11824.298526028977
2024-05-22,11166.721294698045,11790.253375602257
2024-05-23,11095.39398386796,11704.136160680935
2024-05-24,11159.533679706525,11781.575389879916
2024-05-28,11156.587338481537,11789.807925035926
2024-05-29,11117.564573689957,11707.250164484696
2024-05-30,11062.352695052225,11629.586826615698
2024-05-31,11150.369422875172,11735.509991096522
2024-06-03,11149.972097010366,11745.080261338377
2024-06-04,11155.575494375724,11758.209985950323
2024-06-05,11250.774371352347,11897.956958961551
2024-06-06,11250.59210776409,11897.732850291535
2024-06-07,11238.831605986106,11883.272307528003
2024-06-10,11258.99701874849,11919.987394579004
2024-06-11,11272.540214175353,11948.69267175716
2024-06-12,11341.95883083453,12046.828751648305
2024-06-13,11361.954759391901,12071.086440097411
2024-06-14,11368.00656394588,12078.42807412076
2024-06-17,11437.213406624523,12174.559626463415
2024-06-18,11451.727786181438,12205.490773086374
2024-06-20,11428.403390946138,12172.336523792317
2024-06-21,11415.002386458484,12156.0153257129
2024-06-24,11374.032138995917,12116.498880286681
2024-06-25,11397.227841278363,12163.161902190122
2024-06-26,11407.44898793717,12178.341806116672
2024-06-27,11422.901691377623,12197.540448848164
2024-06-28,11384.266592373666,12149.539691858878
2024-07-01,11394.595633425357,12174.547175981748
2024-07-02,11432.897767616838,12256.476878902187
2024-07-03,11471.181784257376,12311.174611641809
2024-07-05,11529.090275880793,12382.164491336955
2024-07-08,11530.634082909944,12396.453494130843
2024-07-09,11536.235556111518,12408.509710545668
